Name,Price (KZT)
MIXED GREEN SALAD,4000
BURRATA SALAD,7500
RED TUNA TARTAR,7000
CHOCOLATE MOUSSE WITH CHERRY,4500
PISTACHIO ROLL,4500
PROFITEROLES WITH CARAMEL,4500
APPLE STRUDEL WITH VANILLA ICE CREAM,4500
SEASONAL FRUITS,7000
CHEESE PLATTER WITH DRIED FRUITS,15000
ICE CREAM (1 SCOOP),2000
TASSAY WATER STILL (SMALL),1500
TASSAY WATER STILL (LARGE),2000
TASSAY WATER SPARKLING (SMALL),1500
TASSAY WATER SPARKLING (LARGE),2000
TASSAY EXCELLENT,3000
TASSAY EMERALD,3000
BORJOMI,3000
PERRIER,3500
SAN PELLEGRINO (SMALL),3000
SAN PELLEGRINO (LARGE),5000
ACQUA PANNA (SMALL),3000
ACQUA PANNA (LARGE),5000
GRILLED MENU,11000
BEEF TENDERLOIN 200G,25000
RIB EYE STEAK 400G,11000
LAMB CHOPS 250G,6000
CHICKEN BREAST 200G,6500
TURKISH MEATBALLS 200G,11000
BEEF KEBAB 200G,6000
CHICKEN KEBAB 200G,6000